"Country or Area","Sex","Age","Occupation"
"Brazil","Female","10 +","Craft and related trades workers (ISCO 08 - 7)"
"Brazil","Female","10 +","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Brazil","Female","10 +","Elementary occupations (ISCO 08 - 9)"
"Brazil","Female","10 +","Unknown"
"Brazil","Female","10 +","Total (ISCO 08)"
"Brazil","Female","15 - 19","Armed forces (ISCO 88 - 0)"
"Brazil","Female","15 - 19","Legislators, senior officials and managers (ISCO 88 - 1)"
"Brazil","Female","15 - 19","Professionals (ISCO 88 - 2)"
"Brazil","Female","15 - 19","Technicians and associate professionals (ISCO 88 - 3)"
"Brazil","Female","15 - 19","Clerks (ISCO 88 - 4)"
"Brazil","Female","15 - 19","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Brazil","Female","15 - 19","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Brazil","Female","15 - 19","Craft and related trades workers (ISCO 88 - 7)"
"Brazil","Female","15 - 19","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Brazil","Female","15 - 19","Elementary occupations (ISCO 88 - 9)"
"Brazil","Female","15 - 19","Unknown"
"Brazil","Female","15 - 19","Total (ISCO 88)"
"Brazil","Female","15 - 19","Armed forces occupations (ISCO 08 - 0)"
"Brazil","Female","15 - 19","Managers (ISCO 08 - 1)"
"Brazil","Female","15 - 19","Professionals (ISCO 08 - 2)"
"Brazil","Female","15 - 19","Technicians and associate professionals (ISCO 08 - 3)"
"Brazil","Female","15 - 19","Clerical support workers (ISCO 08 - 4)"
"Brazil","Female","15 - 19","Service and sales workers (ISCO 08 - 5)"
"Brazil","Female","15 - 19","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Brazil","Female","15 - 19","Craft and related trades workers (ISCO 08 - 7)"
"Brazil","Female","15 - 19","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Brazil","Female","15 - 19","Elementary occupations (ISCO 08 - 9)"
"Brazil","Female","15 - 19","Unknown"
"Brazil","Female","15 - 19","Total (ISCO 08)"
"Brazil","Female","20 - 24","Armed forces (ISCO 88 - 0)"
"Brazil","Female","20 - 24","Legislators, senior officials and managers (ISCO 88 - 1)"
"Brazil","Female","20 - 24","Professionals (ISCO 88 - 2)"
"Brazil","Female","20 - 24","Technicians and associate professionals (ISCO 88 - 3)"
"Brazil","Female","20 - 24","Clerks (ISCO 88 - 4)"
"Brazil","Female","20 - 24","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Brazil","Female","20 - 24","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Brazil","Female","20 - 24","Craft and related trades workers (ISCO 88 - 7)"
"Brazil","Female","20 - 24","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Brazil","Female","20 - 24","Elementary occupations (ISCO 88 - 9)"
"Brazil","Female","20 - 24","Unknown"
"Brazil","Female","20 - 24","Total (ISCO 88)"
"Brazil","Female","20 - 24","Armed forces occupations (ISCO 08 - 0)"
"Brazil","Female","20 - 24","Managers (ISCO 08 - 1)"
"Brazil","Female","20 - 24","Professionals (ISCO 08 - 2)"
"Brazil","Female","20 - 24","Technicians and associate professionals (ISCO 08 - 3)"
"Brazil","Female","20 - 24","Clerical support workers (ISCO 08 - 4)"
"Brazil","Female","20 - 24","Service and sales workers (ISCO 08 - 5)"
"Brazil","Female","20 - 24","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Brazil","Female","20 - 24","Craft and related trades workers (ISCO 08 - 7)"
"Brazil","Female","20 - 24","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Brazil","Female","20 - 24","Elementary occupations (ISCO 08 - 9)"
"Brazil","Female","20 - 24","Unknown"
"Brazil","Female","20 - 24","Total (ISCO 08)"
"Brazil","Female","25 - 29","Armed forces (ISCO 88 - 0)"
"Brazil","Female","25 - 29","Legislators, senior officials and managers (ISCO 88 - 1)"
"Brazil","Female","25 - 29","Professionals (ISCO 88 - 2)"
"Brazil","Female","25 - 29","Technicians and associate professionals (ISCO 88 - 3)"
"Brazil","Female","25 - 29","Clerks (ISCO 88 - 4)"
"Brazil","Female","25 - 29","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Brazil","Female","25 - 29","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Brazil","Female","25 - 29","Craft and related trades workers (ISCO 88 - 7)"
"Brazil","Female","25 - 29","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Brazil","Female","25 - 29","Elementary occupations (ISCO 88 - 9)"
"Brazil","Female","25 - 29","Unknown"
"Brazil","Female","25 - 29","Total (ISCO 88)"
"Brazil","Female","25 - 29","Armed forces occupations (ISCO 08 - 0)"
"Brazil","Female","25 - 29","Managers (ISCO 08 - 1)"
"Brazil","Female","25 - 29","Professionals (ISCO 08 - 2)"
"Brazil","Female","25 - 29","Technicians and associate professionals (ISCO 08 - 3)"
"Brazil","Female","25 - 29","Clerical support workers (ISCO 08 - 4)"
"Brazil","Female","25 - 29","Service and sales workers (ISCO 08 - 5)"
"Brazil","Female","25 - 29","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Brazil","Female","25 - 29","Craft and related trades workers (ISCO 08 - 7)"
"Brazil","Female","25 - 29","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Brazil","Female","25 - 29","Elementary occupations (ISCO 08 - 9)"
"Brazil","Female","25 - 29","Unknown"
"Brazil","Female","25 - 29","Total (ISCO 08)"
"Brazil","Female","30 - 34","Armed forces (ISCO 88 - 0)"
"Brazil","Female","30 - 34","Legislators, senior officials and managers (ISCO 88 - 1)"
"Brazil","Female","30 - 34","Professionals (ISCO 88 - 2)"
"Brazil","Female","30 - 34","Technicians and associate professionals (ISCO 88 - 3)"
"Brazil","Female","30 - 34","Clerks (ISCO 88 - 4)"
"Brazil","Female","30 - 34","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Brazil","Female","30 - 34","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Brazil","Female","30 - 34","Craft and related trades workers (ISCO 88 - 7)"
"Brazil","Female","30 - 34","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Brazil","Female","30 - 34","Elementary occupations (ISCO 88 - 9)"
"Brazil","Female","30 - 34","Unknown"
"Brazil","Female","30 - 34","Total (ISCO 88)"
"Brazil","Female","30 - 34","Armed forces occupations (ISCO 08 - 0)"
"Brazil","Female","30 - 34","Managers (ISCO 08 - 1)"
"Brazil","Female","30 - 34","Professionals (ISCO 08 - 2)"
"Brazil","Female","30 - 34","Technicians and associate professionals (ISCO 08 - 3)"
"Brazil","Female","30 - 34","Clerical support workers (ISCO 08 - 4)"
"Brazil","Female","30 - 34","Service and sales workers (ISCO 08 - 5)"
"Brazil","Female","30 - 34","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Brazil","Female","30 - 34","Craft and related trades workers (ISCO 08 - 7)"
"Brazil","Female","30 - 34","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Brazil","Female","30 - 34","Elementary occupations (ISCO 08 - 9)"
"Brazil","Female","30 - 34","Unknown"
"Brazil","Female","30 - 34","Total (ISCO 08)"
"Brazil","Female","35 - 39","Armed forces (ISCO 88 - 0)"
"Brazil","Female","35 - 39","Legislators, senior officials and managers (ISCO 88 - 1)"
"Brazil","Female","35 - 39","Professionals (ISCO 88 - 2)"
"Brazil","Female","35 - 39","Technicians and associate professionals (ISCO 88 - 3)"
"Brazil","Female","35 - 39","Clerks (ISCO 88 - 4)"
"Brazil","Female","35 - 39","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Brazil","Female","35 - 39","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Brazil","Female","35 - 39","Craft and related trades workers (ISCO 88 - 7)"
"Brazil","Female","35 - 39","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Brazil","Female","35 - 39","Elementary occupations (ISCO 88 - 9)"
"Brazil","Female","35 - 39","Unknown"
"Brazil","Female","35 - 39","Total (ISCO 88)"
"Brazil","Female","35 - 39","Armed forces occupations (ISCO 08 - 0)"
"Brazil","Female","35 - 39","Managers (ISCO 08 - 1)"
"Brazil","Female","35 - 39","Professionals (ISCO 08 - 2)"
"Brazil","Female","35 - 39","Technicians and associate professionals (ISCO 08 - 3)"
"Brazil","Female","35 - 39","Clerical support workers (ISCO 08 - 4)"
"Brazil","Female","35 - 39","Service and sales workers (ISCO 08 - 5)"
"Brazil","Female","35 - 39","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Brazil","Female","35 - 39","Craft and related trades workers (ISCO 08 - 7)"
"Brazil","Female","35 - 39","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Brazil","Female","35 - 39","Elementary occupations (ISCO 08 - 9)"
"Brazil","Female","35 - 39","Unknown"
"Brazil","Female","35 - 39","Total (ISCO 08)"
"Brazil","Female","40 - 44","Armed forces (ISCO 88 - 0)"
"Brazil","Female","40 - 44","Legislators, senior officials and managers (ISCO 88 - 1)"
"Brazil","Female","40 - 44","Professionals (ISCO 88 - 2)"
"Brazil","Female","40 - 44","Technicians and associate professionals (ISCO 88 - 3)"
"Brazil","Female","40 - 44","Clerks (ISCO 88 - 4)"
"Brazil","Female","40 - 44","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Brazil","Female","40 - 44","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Brazil","Female","40 - 44","Craft and related trades workers (ISCO 88 - 7)"
"Brazil","Female","40 - 44","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Brazil","Female","40 - 44","Elementary occupations (ISCO 88 - 9)"
"Brazil","Female","40 - 44","Unknown"
"Brazil","Female","40 - 44","Total (ISCO 88)"
"Brazil","Female","40 - 44","Armed forces occupations (ISCO 08 - 0)"
"Brazil","Female","40 - 44","Managers (ISCO 08 - 1)"
"Brazil","Female","40 - 44","Professionals (ISCO 08 - 2)"
"Brazil","Female","40 - 44","Technicians and associate professionals (ISCO 08 - 3)"
"Brazil","Female","40 - 44","Clerical support workers (ISCO 08 - 4)"
"Brazil","Female","40 - 44","Service and sales workers (ISCO 08 - 5)"
"Brazil","Female","40 - 44","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Brazil","Female","40 - 44","Craft and related trades workers (ISCO 08 - 7)"
"Brazil","Female","40 - 44","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Brazil","Female","40 - 44","Elementary occupations (ISCO 08 - 9)"
"Brazil","Female","40 - 44","Unknown"
"Brazil","Female","40 - 44","Total (ISCO 08)"
"Brazil","Female","45 - 49","Armed forces (ISCO 88 - 0)"
"Brazil","Female","45 - 49","Legislators, senior officials and managers (ISCO 88 - 1)"
"Brazil","Female","45 - 49","Professionals (ISCO 88 - 2)"
"Brazil","Female","45 - 49","Technicians and associate professionals (ISCO 88 - 3)"
"Brazil","Female","45 - 49","Clerks (ISCO 88 - 4)"
"Brazil","Female","45 - 49","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Brazil","Female","45 - 49","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Brazil","Female","45 - 49","Craft and related trades workers (ISCO 88 - 7)"
"Brazil","Female","45 - 49","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Brazil","Female","45 - 49","Elementary occupations (ISCO 88 - 9)"
"Brazil","Female","45 - 49","Unknown"
"Brazil","Female","45 - 49","Total (ISCO 88)"
"Brazil","Female","45 - 49","Armed forces occupations (ISCO 08 - 0)"
"Brazil","Female","45 - 49","Managers (ISCO 08 - 1)"
"Brazil","Female","45 - 49","Professionals (ISCO 08 - 2)"
"Brazil","Female","45 - 49","Technicians and associate professionals (ISCO 08 - 3)"
"Brazil","Female","45 - 49","Clerical support workers (ISCO 08 - 4)"
"Brazil","Female","45 - 49","Service and sales workers (ISCO 08 - 5)"
"Brazil","Female","45 - 49","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Brazil","Female","45 - 49","Craft and related trades workers (ISCO 08 - 7)"
"Brazil","Female","45 - 49","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Brazil","Female","45 - 49","Elementary occupations (ISCO 08 - 9)"
"Brazil","Female","45 - 49","Unknown"
"Brazil","Female","45 - 49","Total (ISCO 08)"
"Brazil","Female","50 - 54","Armed forces (ISCO 88 - 0)"
"Brazil","Female","50 - 54","Legislators, senior officials and managers (ISCO 88 - 1)"
"Brazil","Female","50 - 54","Professionals (ISCO 88 - 2)"
"Brazil","Female","50 - 54","Technicians and associate professionals (ISCO 88 - 3)"
"Brazil","Female","50 - 54","Clerks (ISCO 88 - 4)"
"Brazil","Female","50 - 54","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Brazil","Female","50 - 54","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Brazil","Female","50 - 54","Craft and related trades workers (ISCO 88 - 7)"
"Brazil","Female","50 - 54","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Brazil","Female","50 - 54","Elementary occupations (ISCO 88 - 9)"
"Brazil","Female","50 - 54","Unknown"
"Brazil","Female","50 - 54","Total (ISCO 88)"
"Brazil","Female","50 - 54","Armed forces occupations (ISCO 08 - 0)"
"Brazil","Female","50 - 54","Managers (ISCO 08 - 1)"
"Brazil","Female","50 - 54","Professionals (ISCO 08 - 2)"
"Brazil","Female","50 - 54","Technicians and associate professionals (ISCO 08 - 3)"
"Brazil","Female","50 - 54","Clerical support workers (ISCO 08 - 4)"
"Brazil","Female","50 - 54","Service and sales workers (ISCO 08 - 5)"
"Brazil","Female","50 - 54","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Brazil","Female","50 - 54","Craft and related trades workers (ISCO 08 - 7)"
"Brazil","Female","50 - 54","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Brazil","Female","50 - 54","Elementary occupations (ISCO 08 - 9)"
"Brazil","Female","50 - 54","Unknown"
"Brazil","Female","50 - 54","Total (ISCO 08)"
"Brazil","Female","55 - 59","Armed forces (ISCO 88 - 0)"
"Brazil","Female","55 - 59","Legislators, senior officials and managers (ISCO 88 - 1)"
"Brazil","Female","55 - 59","Professionals (ISCO 88 - 2)"
"Brazil","Female","55 - 59","Technicians and associate professionals (ISCO 88 - 3)"
"Brazil","Female","55 - 59","Clerks (ISCO 88 - 4)"
"Brazil","Female","55 - 59","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Brazil","Female","55 - 59","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Brazil","Female","55 - 59","Craft and related trades workers (ISCO 88 - 7)"
"Brazil","Female","55 - 59","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Brazil","Female","55 - 59","Elementary occupations (ISCO 88 - 9)"
"Brazil","Female","55 - 59","Unknown"
"Brazil","Female","55 - 59","Total (ISCO 88)"
"Brazil","Female","55 - 59","Armed forces occupations (ISCO 08 - 0)"
"Brazil","Female","55 - 59","Managers (ISCO 08 - 1)"
"Brazil","Female","55 - 59","Professionals (ISCO 08 - 2)"
"Brazil","Female","55 - 59","Technicians and associate professionals (ISCO 08 - 3)"
"Brazil","Female","55 - 59","Clerical support workers (ISCO 08 - 4)"
"Brazil","Female","55 - 59","Service and sales workers (ISCO 08 - 5)"
"Brazil","Female","55 - 59","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Brazil","Female","55 - 59","Craft and related trades workers (ISCO 08 - 7)"
"Brazil","Female","55 - 59","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Brazil","Female","55 - 59","Elementary occupations (ISCO 08 - 9)"
"Brazil","Female","55 - 59","Unknown"
"Brazil","Female","55 - 59","Total (ISCO 08)"
"Brazil","Female","60 - 64","Armed forces (ISCO 88 - 0)"
"Brazil","Female","60 - 64","Legislators, senior officials and managers (ISCO 88 - 1)"
"Brazil","Female","60 - 64","Professionals (ISCO 88 - 2)"
"Brazil","Female","60 - 64","Technicians and associate professionals (ISCO 88 - 3)"
"Brazil","Female","60 - 64","Clerks (ISCO 88 - 4)"
"Brazil","Female","60 - 64","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Brazil","Female","60 - 64","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Brazil","Female","60 - 64","Craft and related trades workers (ISCO 88 - 7)"
"Brazil","Female","60 - 64","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Brazil","Female","60 - 64","Elementary occupations (ISCO 88 - 9)"
"Brazil","Female","60 - 64","Unknown"
"Brazil","Female","60 - 64","Total (ISCO 88)"
"Brazil","Female","60 - 64","Armed forces occupations (ISCO 08 - 0)"
"Brazil","Female","60 - 64","Managers (ISCO 08 - 1)"
"Brazil","Female","60 - 64","Professionals (ISCO 08 - 2)"
"Brazil","Female","60 - 64","Technicians and associate professionals (ISCO 08 - 3)"
"Brazil","Female","60 - 64","Clerical support workers (ISCO 08 - 4)"
"Brazil","Female","60 - 64","Service and sales workers (ISCO 08 - 5)"
"Brazil","Female","60 - 64","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Brazil","Female","60 - 64","Craft and related trades workers (ISCO 08 - 7)"
"Brazil","Female","60 - 64","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Brazil","Female","60 - 64","Elementary occupations (ISCO 08 - 9)"
"Brazil","Female","60 - 64","Unknown"
"Brazil","Female","60 - 64","Total (ISCO 08)"
"Brazil","Female","65 - 69","Armed forces (ISCO 88 - 0)"
"Brazil","Female","65 - 69","Legislators, senior officials and managers (ISCO 88 - 1)"
"Brazil","Female","65 - 69","Professionals (ISCO 88 - 2)"
"Brazil","Female","65 - 69","Technicians and associate professionals (ISCO 88 - 3)"
"Brazil","Female","65 - 69","Clerks (ISCO 88 - 4)"
"Brazil","Female","65 - 69","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Brazil","Female","65 - 69","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Brazil","Female","65 - 69","Craft and related trades workers (ISCO 88 - 7)"
"Brazil","Female","65 - 69","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Brazil","Female","65 - 69","Elementary occupations (ISCO 88 - 9)"
"Brazil","Female","65 - 69","Unknown"
"Brazil","Female","65 - 69","Total (ISCO 88)"
"Brazil","Female","65 - 69","Armed forces occupations (ISCO 08 - 0)"
"Brazil","Female","65 - 69","Managers (ISCO 08 - 1)"
"Brazil","Female","65 - 69","Professionals (ISCO 08 - 2)"
"Brazil","Female","65 - 69","Technicians and associate professionals (ISCO 08 - 3)"
"Brazil","Female","65 - 69","Clerical support workers (ISCO 08 - 4)"
"Brazil","Female","65 - 69","Service and sales workers (ISCO 08 - 5)"
"Brazil","Female","65 - 69","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Brazil","Female","65 - 69","Craft and related trades workers (ISCO 08 - 7)"
"Brazil","Female","65 - 69","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Brazil","Female","65 - 69","Elementary occupations (ISCO 08 - 9)"
"Brazil","Female","65 - 69","Unknown"
"Brazil","Female","65 - 69","Total (ISCO 08)"
"Brazil","Female","70 - 74","Armed forces (ISCO 88 - 0)"
"Brazil","Female","70 - 74","Legislators, senior officials and managers (ISCO 88 - 1)"
"Brazil","Female","70 - 74","Professionals (ISCO 88 - 2)"
"Brazil","Female","70 - 74","Technicians and associate professionals (ISCO 88 - 3)"
"Brazil","Female","70 - 74","Clerks (ISCO 88 - 4)"
"Brazil","Female","70 - 74","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Brazil","Female","70 - 74","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Brazil","Female","70 - 74","Craft and related trades workers (ISCO 88 - 7)"
"Brazil","Female","70 - 74","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Brazil","Female","70 - 74","Elementary occupations (ISCO 88 - 9)"
"Brazil","Female","70 - 74","Unknown"
"Brazil","Female","70 - 74","Total (ISCO 88)"
"Brazil","Female","70 - 74","Armed forces occupations (ISCO 08 - 0)"
"Brazil","Female","70 - 74","Managers (ISCO 08 - 1)"
"Brazil","Female","70 - 74","Professionals (ISCO 08 - 2)"
"Brazil","Female","70 - 74","Technicians and associate professionals (ISCO 08 - 3)"
"Brazil","Female","70 - 74","Clerical support workers (ISCO 08 - 4)"
"Brazil","Female","70 - 74","Service and sales workers (ISCO 08 - 5)"
"Brazil","Female","70 - 74","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Brazil","Female","70 - 74","Craft and related trades workers (ISCO 08 - 7)"
"Brazil","Female","70 - 74","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Brazil","Female","70 - 74","Elementary occupations (ISCO 08 - 9)"
"Brazil","Female","70 - 74","Unknown"
"Brazil","Female","70 - 74","Total (ISCO 08)"
"Brazil","Female","75 +","Armed forces (ISCO 88 - 0)"
"Brazil","Female","75 +","Legislators, senior officials and managers (ISCO 88 - 1)"
"Brazil","Female","75 +","Professionals (ISCO 88 - 2)"
"Brazil","Female","75 +","Technicians and associate professionals (ISCO 88 - 3)"
"Brazil","Female","75 +","Clerks (ISCO 88 - 4)"
"Brazil","Female","75 +","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Brazil","Female","75 +","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Brazil","Female","75 +","Craft and related trades workers (ISCO 88 - 7)"
"Brazil","Female","75 +","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Brazil","Female","75 +","Elementary occupations (ISCO 88 - 9)"
"Brazil","Female","75 +","Unknown"
"Brazil","Female","75 +","Total (ISCO 88)"
"Brazil","Female","75 +","Armed forces occupations (ISCO 08 - 0)"
"Brazil","Female","75 +","Managers (ISCO 08 - 1)"
"Brazil","Female","75 +","Professionals (ISCO 08 - 2)"
"Brazil","Female","75 +","Technicians and associate professionals (ISCO 08 - 3)"
"Brazil","Female","75 +","Clerical support workers (ISCO 08 - 4)"
"Brazil","Female","75 +","Service and sales workers (ISCO 08 - 5)"
"Brazil","Female","75 +","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Brazil","Female","75 +","Craft and related trades workers (ISCO 08 - 7)"
"Brazil","Female","75 +","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Brazil","Female","75 +","Elementary occupations (ISCO 08 - 9)"
"Brazil","Female","75 +","Unknown"
"Brazil","Female","75 +","Total (ISCO 08)"
"British Virgin Islands","Both Sexes","Total","Armed forces (ISCO 88 - 0)"
"British Virgin Islands","Both Sexes","Total","Legislators, senior officials and managers (ISCO 88 - 1)"
"British Virgin Islands","Both Sexes","Total","Professionals (ISCO 88 - 2)"
"British Virgin Islands","Both Sexes","Total","Technicians and associate professionals (ISCO 88 - 3)"
"British Virgin Islands","Both Sexes","Total","Clerks (ISCO 88 - 4)"
"British Virgin Islands","Both Sexes","Total","Service workers and shop and market sales workers (ISCO 88 - 5)"
"British Virgin Islands","Both Sexes","Total","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"British Virgin Islands","Both Sexes","Total","Craft and related trades workers (ISCO 88 - 7)"
"British Virgin Islands","Both Sexes","Total","Plant and machine operators and assemblers (ISCO 88 - 8)"
"British Virgin Islands","Both Sexes","Total","Elementary occupations (ISCO 88 - 9)"
"British Virgin Islands","Both Sexes","Total","Unknown"
"British Virgin Islands","Both Sexes","Total","Total (ISCO 88)"
"British Virgin Islands","Male","Total","Armed forces (ISCO 88 - 0)"
"British Virgin Islands","Male","Total","Legislators, senior officials and managers (ISCO 88 - 1)"
"British Virgin Islands","Male","Total","Professionals (ISCO 88 - 2)"
"British Virgin Islands","Male","Total","Technicians and associate professionals (ISCO 88 - 3)"
"British Virgin Islands","Male","Total","Clerks (ISCO 88 - 4)"
"British Virgin Islands","Male","Total","Service workers and shop and market sales workers (ISCO 88 - 5)"
"British Virgin Islands","Male","Total","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"British Virgin Islands","Male","Total","Craft and related trades workers (ISCO 88 - 7)"
"British Virgin Islands","Male","Total","Plant and machine operators and assemblers (ISCO 88 - 8)"
"British Virgin Islands","Male","Total","Elementary occupations (ISCO 88 - 9)"
"British Virgin Islands","Male","Total","Unknown"
"British Virgin Islands","Male","Total","Total (ISCO 88)"
"British Virgin Islands","Female","Total","Armed forces (ISCO 88 - 0)"
"British Virgin Islands","Female","Total","Legislators, senior officials and managers (ISCO 88 - 1)"
"British Virgin Islands","Female","Total","Professionals (ISCO 88 - 2)"
"British Virgin Islands","Female","Total","Technicians and associate professionals (ISCO 88 - 3)"
"British Virgin Islands","Female","Total","Clerks (ISCO 88 - 4)"
"British Virgin Islands","Female","Total","Service workers and shop and market sales workers (ISCO 88 - 5)"
"British Virgin Islands","Female","Total","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"British Virgin Islands","Female","Total","Craft and related trades workers (ISCO 88 - 7)"
"British Virgin Islands","Female","Total","Plant and machine operators and assemblers (ISCO 88 - 8)"
"British Virgin Islands","Female","Total","Elementary occupations (ISCO 88 - 9)"
"British Virgin Islands","Female","Total","Unknown"
"British Virgin Islands","Female","Total","Total (ISCO 88)"
"Cayman Islands","Both Sexes","15 - 19","Managers (ISCO 08 - 1)"
"Cayman Islands","Both Sexes","15 - 19","Professionals (ISCO 08 - 2)"
"Cayman Islands","Both Sexes","15 - 19","Technicians and associate professionals (ISCO 08 - 3)"
"Cayman Islands","Both Sexes","15 - 19","Clerical support workers (ISCO 08 - 4)"
"Cayman Islands","Both Sexes","15 - 19","Service and sales workers (ISCO 08 - 5)"
"Cayman Islands","Both Sexes","15 - 19","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Cayman Islands","Both Sexes","15 - 19","Craft and related trades workers (ISCO 08 - 7)"
"Cayman Islands","Both Sexes","15 - 19","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Cayman Islands","Both Sexes","15 - 19","Elementary occupations (ISCO 08 - 9)"
"Cayman Islands","Both Sexes","15 - 19","Unknown"
"Cayman Islands","Both Sexes","15 - 19","Total (ISCO 08)"
"Cayman Islands","Both Sexes","15 +","Managers (ISCO 08 - 1)"
"Cayman Islands","Both Sexes","15 +","Professionals (ISCO 08 - 2)"
"Cayman Islands","Both Sexes","15 +","Technicians and associate professionals (ISCO 08 - 3)"
"Cayman Islands","Both Sexes","15 +","Clerical support workers (ISCO 08 - 4)"
"Cayman Islands","Both Sexes","15 +","Service and sales workers (ISCO 08 - 5)"
"Cayman Islands","Both Sexes","15 +","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Cayman Islands","Both Sexes","15 +","Craft and related trades workers (ISCO 08 - 7)"
"Cayman Islands","Both Sexes","15 +","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Cayman Islands","Both Sexes","15 +","Elementary occupations (ISCO 08 - 9)"
"Cayman Islands","Both Sexes","15 +","Unknown"
"Cayman Islands","Both Sexes","15 +","Total (ISCO 08)"
"Cayman Islands","Both Sexes","20 - 24","Managers (ISCO 08 - 1)"
"Cayman Islands","Both Sexes","20 - 24","Professionals (ISCO 08 - 2)"
"Cayman Islands","Both Sexes","20 - 24","Technicians and associate professionals (ISCO 08 - 3)"
"Cayman Islands","Both Sexes","20 - 24","Clerical support workers (ISCO 08 - 4)"
"Cayman Islands","Both Sexes","20 - 24","Service and sales workers (ISCO 08 - 5)"
"Cayman Islands","Both Sexes","20 - 24","Skilled agricultural, forestry and fishery workers (ISCO 08 - 6)"
"Cayman Islands","Both Sexes","20 - 24","Craft and related trades workers (ISCO 08 - 7)"
"Cayman Islands","Both Sexes","20 - 24","Plant and machine operators, and assemblers (ISCO 08 - 8)"
"Cayman Islands","Both Sexes","20 - 24","Elementary occupations (ISCO 08 - 9)"
"Cayman Islands","Both Sexes","20 - 24","Unknown"
"Cayman Islands","Both Sexes","20 - 24","Total (ISCO 08)"
